epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,368.811,1.23209,1.78492,0.89509,0.53299,0.44543,0.50068,0.35274,1.14613,1.58316,0.87758,0.000226548,0.000226548,0.000226548
44,376.627,1.22955,1.76403,0.89071,0.52401,0.45873,0.50873,0.37114,1.05275,1.56763,0.85858,0.00022568,0.00022568,0.00022568
45,385.436,1.22582,1.72895,0.88811,0.50826,0.46603,0.5119,0.37297,1.05776,1.54913,0.86764,0.000224812,0.000224812,0.000224812
46,397.463,1.24077,1.73559,0.88675,0.52026,0.47651,0.52642,0.38459,1.05239,1.49943,0.85648,0.000223945,0.000223945,0.000223945
47,406.485,1.22413,1.71151,0.88742,0.50791,0.50114,0.54165,0.40302,0.99898,1.46804,0.84609,0.000223077,0.000223077,0.000223077
48,413.145,1.21317,1.70377,0.88691,0.54919,0.47869,0.55052,0.41283,0.98367,1.46943,0.85523,0.000222209,0.000222209,0.000222209
49,426.403,1.19012,1.65683,0.88659,0.54667,0.47541,0.53202,0.37953,1.10558,1.49495,0.89579,0.000221341,0.000221341,0.000221341
50,433.439,1.22973,1.69135,0.88654,0.53085,0.49274,0.54555,0.3745,1.16309,1.48459,0.87997,0.000220473,0.000220473,0.000220473
51,439.021,1.19023,1.64701,0.8837,0.5605,0.49754,0.56209,0.4002,1.10148,1.4356,0.87256,0.000219605,0.000219605,0.000219605
52,460.653,1.20281,1.6209,0.88729,0.54176,0.50057,0.54393,0.37335,1.19811,1.52908,0.90584,0.000218737,0.000218737,0.000218737
53,479.039,1.18274,1.61008,0.88965,0.57396,0.51563,0.57777,0.43278,0.98482,1.41076,0.85889,0.000217869,0.000217869,0.000217869
54,489.577,1.16665,1.56868,0.87987,0.55167,0.51556,0.57647,0.4369,0.94776,1.39776,0.83871,0.000217001,0.000217001,0.000217001
55,495.438,1.17507,1.56074,0.88571,0.59014,0.49895,0.58265,0.4349,0.97036,1.41457,0.84019,0.000216133,0.000216133,0.000216133
56,519.661,1.19136,1.57214,0.88522,0.60778,0.48137,0.58274,0.43367,0.99702,1.41682,0.85005,0.000215266,0.000215266,0.000215266
57,538.875,1.19817,1.56727,0.8853,0.57943,0.52994,0.59494,0.43997,0.99412,1.34833,0.84149,0.000214398,0.000214398,0.000214398
58,549.102,1.16662,1.53095,0.88363,0.59236,0.50859,0.57906,0.38558,1.19993,1.40936,0.88522,0.00021353,0.00021353,0.00021353
59,558.013,1.16877,1.52151,0.88734,0.57339,0.53809,0.58992,0.4402,1.00691,1.3815,0.85029,0.000212662,0.000212662,0.000212662
60,563.411,1.13525,1.50284,0.87676,0.62972,0.51101,0.59801,0.44132,1.02371,1.34959,0.88278,0.000211794,0.000211794,0.000211794
61,573.759,1.19855,1.52737,0.88349,0.6111,0.56663,0.62833,0.47606,0.94466,1.29842,0.84553,0.000210926,0.000210926,0.000210926
62,581.542,1.17922,1.48539,0.88352,0.64104,0.55732,0.63271,0.4775,0.94379,1.28856,0.83802,0.000210058,0.000210058,0.000210058
63,599.211,1.16606,1.49084,0.87937,0.64602,0.55102,0.63561,0.4685,0.99139,1.27787,0.84798,0.00020919,0.00020919,0.00020919
64,619.989,1.15026,1.46784,0.88216,0.64795,0.54805,0.63113,0.48205,0.8919,1.27121,0.83043,0.000208322,0.000208322,0.000208322
65,625.294,1.16402,1.46669,0.88346,0.63884,0.54311,0.63604,0.46231,1.01572,1.25886,0.86073,0.000207454,0.000207454,0.000207454
66,631.173,1.15459,1.45288,0.88018,0.66834,0.53221,0.63539,0.4701,0.97904,1.26435,0.86202,0.000206586,0.000206586,0.000206586
67,642.504,1.15538,1.42164,0.87985,0.64454,0.55254,0.6382,0.48615,0.91749,1.27678,0.83484,0.000205719,0.000205719,0.000205719
68,648.135,1.1651,1.41936,0.88399,0.70067,0.50902,0.63775,0.49152,0.89567,1.26133,0.83257,0.000204851,0.000204851,0.000204851
69,666.407,1.10983,1.39817,0.87205,0.68458,0.54798,0.66384,0.4877,0.98746,1.21419,0.85123,0.000203983,0.000203983,0.000203983
70,681.515,1.13488,1.3994,0.87791,0.68122,0.57297,0.6761,0.47706,1.07501,1.19865,0.87771,0.000203115,0.000203115,0.000203115
